0,1,2,3,4,5
I'm Thinking Of A Friend,PT3M22S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/im-thinking-of-a-friend-276930/,Blues
Asbury Park Boardwalk,PT3M15S,Buckethead,Racks,http://ringsushi.com/tone/asbury-park-boardwalk-214955/,Other
Thousands Are Sailing,PT5M29S,The Pogues,If I Should Fall From Grace With God,http://ringsushi.com/tone/thousands-are-sailing-306827/,Folk Rock
"So Long, Lonesome",PT3M40S,Explosions In The Sky,Last Night Soundtrack,http://ringsushi.com/tone/so-long-lonesome-214511/,soundtrack
Le Chant De Taliesin,PT3M01S,Alan Stivell,The Mist of Avalon,http://ringsushi.com/tone/le-chant-de-taliesin-307087/,"Celtic, Folk, Bretagne, World"
Sit Down By The Fire,PT2M18S,The Pogues,If I Should Fall From Grace With God (2004 Remastered & Expanded),http://ringsushi.com/tone/sit-down-by-the-fire-306880/,Folk Rock
I Will Be So Glad When I Get Home (Live),PT2M07S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/i-will-be-so-glad-when-i-get-home-live-276921/,Blues
L'echec,PT2M53S,Yann Tiersen,L'Absente,http://ringsushi.com/tone/lechec-214913/,Classical
"Old Man, Will Your Dog Catch A Rabbit",PT1M30S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/old-man-will-your-dog-catch-a-rabbit-276875/,Blues
A Cheery Wave from Stranded Youngsters,PT2M19S,Mogwai,Young Team,http://ringsushi.com/tone/a-cheery-wave-from-stranded-youngsters-214686/,Other
Get to France,PT2M26S,Mogwai,Earth Division EP,http://ringsushi.com/tone/get-to-france-214716/,Other
Summer In Siam,PT4M06S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/summer-in-siam-306824/,Folk Rock
Ex-Cowboy,PT9M09S,Mogwai,Come on Die Young,http://ringsushi.com/tone/ex-cowboy-214712/,Post-Rock
Let Me Back In,PT10M07S,Explosions In The Sky,"Take Care, Take Care, Take Care",http://ringsushi.com/tone/let-me-back-in-214499/,Post-Rock
Aztec,PT2M28S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/aztec-276950/,rock
Cease Fire,PT3M33S,Alan Stivell,Brian Boru,http://ringsushi.com/tone/cease-fire-307109/,"Celtic, Folk, Bretagne, World"
New Years End,PT4M18S,God Is An Astronaut,Far from Refuge,http://ringsushi.com/tone/new-years-end-214567/,Rock
Power House,PT2M47S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/power-house-277023/,rock
The Union Pact,PT1M03S,Alan Stivell,Before landing,http://ringsushi.com/tone/the-union-pact-307124/,"Celtic, Folk, Bretagne, World"
I (feat. Child Actor),PT14M25S,Blue Sky Black Death,Glaciers,http://ringsushi.com/tone/i-feat-child-actor-225681/,Electronic
Don't You Love Me No More? (4473-A-4),PT4M49S,Leadbelly,The Remaining Library of Congress Recordings - Volume 5 1938-1942,http://ringsushi.com/tone/dont-you-love-me-no-more-4473-a-4-276751/,Blues
Yamin The Light,PT1M10S,Explosions In The Sky,"Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever )(",http://ringsushi.com/tone/yamin-the-light-214526/,Other
Repeal Of The Licensing Laws (Instrumental) (Bonus track),PT2M12S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/repeal-of-the-licensing-laws-instrumental-bonus-track-306932/,Folk Rock
What Are Little Boys Made Of / Polly Wee,PT2M23S,Leadbelly,Shout On - Lead Belly Legacy Vol. 3,http://ringsushi.com/tone/what-are-little-boys-made-of--polly-wee-276917/,Blues
Walkin' And Talkin',PT2M42S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/walkin-and-talkin-277011/,rock
Blues I Got Make A New Born Baby Cry (47-B),PT5M46S,Leadbelly,The Remaining Library of Congress Recordings - Volume 2 1935,http://ringsushi.com/tone/blues-i-got-make-a-new-born-baby-cry-47-b-276858/,Blues
Sad DC,PT4M30S,Mogwai,Happy Songs for Happy People,http://ringsushi.com/tone/sad-dc-214763/,Post Rock
Honey,PT4M18S,Mogwai,Young Team,http://ringsushi.com/tone/honey-214722/,Rock
South Australia (Traditional),PT3M28S,The Pogues,If I Should Fall From Grace With God,http://ringsushi.com/tone/south-australia-traditional-306837/,Folk Rock
Sunny Banks Of Sweet Deliverance,PT4M32S,God Is An Astronaut,Far From Refuge,http://ringsushi.com/tone/sunny-banks-of-sweet-deliverance-214586/,Post-Rock
Chained To The Rhythm (feat. Skip Marley),PT3M58S,Katy Perry,Chained To The Rhythm,http://ringsushi.com/tone/chained-to-the-rhythm-feat-skip-marley-570463/,Pop
Black And Gold - (Sam Sparro),PT3M27S,Katy Perry,Sweetheart: Our Favourite Artists Sing Their Favourite Long Songs,http://ringsushi.com/tone/black_and_gold_-_sam_sparro-173016/,Pop
14 - A Cup of Coffee,PT4M12S,Katy Perry,One of the Boys [Japan],http://ringsushi.com/tone/14_-_a_cup_of_coffee-173015/,Pop
Guenievre,PT4M32S,Alan Stivell,The Mist of Avalon,http://ringsushi.com/tone/guenievre-307067/,"Celtic, Folk, Bretagne, World"
Blind Lemon (Song),PT1M41S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/blind-lemon-song-276843/,Blues
Sunnyside Of The Street,PT3M10S,The Pogues,"Streams Of Whiskey - Live In Leysin, Switzerland 1991",http://ringsushi.com/tone/sunnyside-of-the-street-306881/,Folk Rock
Unknown,PT5M49S,Moby,Hotel (Bonus Disc),http://ringsushi.com/tone/Unknown-37886/,Electronic
Jelly Jelly,PT2M29S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/jelly-jelly-276906/,Blues
Seagull (Bad Company),PT4M04S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/seagull-bad-company-214507/,"Soundtrack, Post-rock"
Like That (feat. Gucci Mane),PT2M43S,Doja Cat,,http://ringsushi.com/tone/like-that-feat-gucci-mane-580683/,Other
Ain't Gonna Study War No More,PT1M24S,Leadbelly,The Definitive Lead Belly (CD 2),http://ringsushi.com/tone/aint-gonna-study-war-no-more-276896/,Blues
Don't Cry,PT5M44S,Mogwai,1998-02-17: Peel Session,http://ringsushi.com/tone/dont-cry-214704/,Post-Rock
Down On The Corner,PT3M16S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/down-on-the-corner-276983/,rock
Eagle Rock Rag (Live),PT1M37S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/eagle-rock-rag-live-276937/,Blues
Auto Rock (Errors Remix),PT4M05S,Mogwai,Travel Is Dangerous,http://ringsushi.com/tone/auto-rock-errors-remix-214688/,Post-Rock
"The Sky Above, The Field Below",PT5M41S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/the-sky-above-the-field-below-214519/,"Soundtrack, Post-rock"
Skoit 'n treid !,PT3M26S,Alan Stivell,Back to Breizh,http://ringsushi.com/tone/skoit-n-treid--307121/,"Celtic, Folk, Bretagne, World"
Say Man,PT3M16S,Bo Diddley,His Best,http://ringsushi.com/tone/say-man-277074/,Soul And R&B
Bad Side Of The Moon,PT2M53S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/bad-side-of-the-moon-277005/,rock
Day Eight,PT2M36S,Explosions In The Sky,"Travels in Constants, Volume 21: The Rescue",http://ringsushi.com/tone/day-eight-214481/,Post-rock
Shout On (Honey I'm All Out & Down),PT2M10S,Leadbelly,The Definitive Leadbelly: 60th Anniversary Edition - CD3,http://ringsushi.com/tone/shout-on-honey-im-all-out--down-276839/,Blues
Boys From The Country Hell,PT2M56S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/boys-from-the-country-hell-306808/,Folk Rock
Dancing In The Neon Light (feat. Lena Philipsson),PT3M07S,Dead By April,Dancing In The Neon Light,http://ringsushi.com/tone/dancing-in-the-neon-light-feat-lena-philipsson-246531/,Other
Rock-n-roll,PT2M33S,Elvis Presley,,http://ringsushi.com/tone/Rock-n-roll-23628/,Other
Three Chords,PT3M54S,Chase Rice,,http://ringsushi.com/tone/three-chords-581115/,
Have You Passed Through This Night?,PT7M20S,Explosions In The Sky,"Those Who Tell the Truth Shall Die, Those Who Tell the Truth Shall Live Forever",http://ringsushi.com/tone/have-you-passed-through-this-night-214493/,Post-rock
Day One,PT4M33S,Explosions In The Sky,"Travels in Constants, Volume 21: The Rescue",http://ringsushi.com/tone/day-one-214484/,Post-rock
Streets Of Sorrow/Birmingham Six,PT4M39S,The Pogues,If I Should Fall From Grace With God (2004 Remastered & Expanded),http://ringsushi.com/tone/streets-of-sorrowbirmingham-six-306858/,Folk Rock
Tuning; Talk About Stewball / Stewball,PT3M31S,Leadbelly,"Private Party, Nov 21, 1948",http://ringsushi.com/tone/tuning-talk-about-stewball--stewball-276817/,Blues
Eagle Rock Rag (Hot Piano Rag),PT2M48S,Leadbelly,Complete Recorded Works 1939-1947 Vol 4,http://ringsushi.com/tone/eagle-rock-rag-hot-piano-rag-276919/,Blues
Day Four,PT3M00S,Explosions In The Sky,"Travels in Constants, Volume 21: The Rescue",http://ringsushi.com/tone/day-four-214483/,Post-rock
Hell's Ditch,PT3M03S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/hells-ditch-306797/,Folk Rock
La Plage,PT1M58S,Yann Tiersen,,http://ringsushi.com/tone/la-plage-214896/,Other
It's Natural To Be Afraid,PT13M27S,Explosions In The Sky,All of a Sudden I Miss Everyone,http://ringsushi.com/tone/its-natural-to-be-afraid-214497/,Instrumental/Post-Rock
An Ugly Fact of Life,PT2M55S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/an-ugly-fact-of-life-214477/,"Soundtrack, Post-rock"
Do The Frong,PT3M02S,Bo Diddley,The Chess Years - Disc 7 of 12,http://ringsushi.com/tone/do-the-frong-277099/,rock
Bo's Beat (with Chuck Berry),PT14M08S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/bos-beat-with-chuck-berry-277097/,rock
Sine Wave,PT4M55S,Mogwai,Rock Action,http://ringsushi.com/tone/sine-wave-214767/,Post Rock
Letters To The Metro (Zombi Remix),PT7M22S,Mogwai,A Wrenched Virile Lore,http://ringsushi.com/tone/letters-to-the-metro-zombi-remix-214739/,Post-Rock / Space Rock
L`absente,PT3M18S,Yann Tiersen,L`Absente,http://ringsushi.com/tone/labsente-214906/,Other
Day Three,PT4M35S,Explosions In The Sky,"Travels in Constants, Volume 21: The Rescue",http://ringsushi.com/tone/day-three-214487/,Post-rock
Lodi,PT3M10S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/lodi-277021/,rock
Ne bado ket atao,PT1M52S,Alan Stivell,E langonned,http://ringsushi.com/tone/ne-bado-ket-atao-307069/,"Celtic, Folk, Bretagne, World"
With Portfolio,PT3M14S,Mogwai,Young Team,http://ringsushi.com/tone/with-portfolio-214794/,Other
Snow And Lights,PT8M18S,Explosions In The Sky,"How Strange, Innocence",http://ringsushi.com/tone/snow-and-lights-214509/,Post-rock
"I Don't Know You, What Have I Done",PT3M11S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/i-dont-know-you-what-have-i-done-276847/,Blues
Something Real (feat. London On Da Track & Chris Brown),PT3M03S,Summer Walker,,http://ringsushi.com/tone/something-real-feat-london-on-da-track-chris-brown-581117/,Other
Ye Banks and Braes,PT4M07S,Alan Stivell,Brian Boru,http://ringsushi.com/tone/ye-banks-and-braes-307077/,"Celtic, Folk, Bretagne, World"
When I Lay Down,PT2M38S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/when-i-lay-down-276820/,Blues
Black Betty / Old Man / On A Monday,PT2M58S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/black-betty--old-man--on-a-monday-276924/,Blues
La Longue Route,PT2M15S,Yann Tiersen,Tabarly,http://ringsushi.com/tone/la-longue-route-214893/,"Classical/Folk, World, & Count"
Help Out,PT2M43S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/help-out-277068/,rock
Join The Band [4471-B-7],PT1M01S,Leadbelly,Go Down Old Hannah,http://ringsushi.com/tone/join-the-band-4471-b-7-276786/,Blues
Bedlam's Bluff,PT3M16S,Buckethead,The Cuckoo Clocks Of Hell,http://ringsushi.com/tone/bedlams-bluff-214968/,Other
Opening,PT4M14S,Explosions In The Sky,,http://ringsushi.com/tone/opening-214504/,Other
Here 'Tis,PT2M26S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/here-tis-277020/,rock
Billy's Blues (Part 2),PT2M19S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/billys-blues-part-2-277018/,rock
Oretown,PT3M51S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/oretown-306846/,Folk Rock
Stop My Monkey,PT2M45S,Bo Diddley,The Chess Years - Disc 7 of 12,http://ringsushi.com/tone/stop-my-monkey-277010/,rock
(Good Night) Irene (tk. 1),PT2M25S,Leadbelly,Lead Belly Complete Recorded Works 1939-1947 - Disc 2,http://ringsushi.com/tone/good-night-irene-tk-1-276905/,blues
I've Had It Hard,PT3M20S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/ive-had-it-hard-277090/,rock
Stay Sharp,PT3M44S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/stay-sharp-277094/,rock
Half Time,PT6M49S,Mogwai,"Zidane, A 21st Century Portrait",http://ringsushi.com/tone/half-time-214720/,Post-Rock
Quick Draw,PT1M53S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/quick-draw-277002/,rock
Woman,PT3M07S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/woman-277063/,rock
The Gallows Song (4473-B-2),PT4M30S,Leadbelly,The Remaining Library of Congress Recordings - Volume 5 1938-1942,http://ringsushi.com/tone/the-gallows-song-4473-b-2-276796/,Blues
Hot (The Real Booty Babes Edit,PT04M21S,Inna,The Workout Mix 2011 - CD2 By,http://ringsushi.com/tone/hot-the-real-booty-babes-edit-439318/,Other
Star Of The County Down (Traditional) (Bonus track),PT2M34S,The Pogues,Peace And Love (2005 Remastered & Expanded),http://ringsushi.com/tone/star-of-the-county-down-traditional-bonus-track-306924/,Folk Rock
Yellow Gal (v. Ledbetter),PT43S,Leadbelly,At New York Town Hall 1947,http://ringsushi.com/tone/yellow-gal-v-ledbetter-276774/,Blues/jazz
Wine,PT2M54S,B Young,,http://ringsushi.com/tone/wine-581120/,
My Babe,PT1M46S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/my-babe-277072/,rock
Post Mortem (The Echelon Effect Remix),PT8M08S,God Is An Astronaut,,http://ringsushi.com/tone/post-mortem-the-echelon-effect-remix-214572/,Other
End,PT2M49S,Mogwai,Ten Rapid,http://ringsushi.com/tone/end-214711/,Other
The Band Played Waltzing Matilda (Eric Bogle cover),PT8M11S,The Pogues,Rum Sodomy & The Lash,http://ringsushi.com/tone/the-band-played-waltzing-matilda-eric-bogle-cover-306900/,Folk Rock
I Got To Go,PT2M42S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/i-got-to-go-276999/,rock
Coma,PT1M17S,God Is An Astronaut,The end of the beginning,http://ringsushi.com/tone/coma-214539/,Other
Girls Need Love (Remix) (feat. Drake),PT3M42S,Summer Walker,,http://ringsushi.com/tone/girls-need-love-remix-feat-drake-581116/,
That's The Way I Wanna Rock 'N' Roll,PT3M45S,AC/DC,Are You Ready? The Very Best Of,http://ringsushi.com/tone/thats-the-way-i-wanna-rock-n-roll-575624/,Rock
"She's Got Balls (Live at the Festival Hall, Melbourne 1974)",PT7M07S,AC/DC,Transmission Impossible (Live),http://ringsushi.com/tone/shes-got-balls-live-at-the-festival-hall-melbourne-1974-562782/,Other
Ain't No Fun (Waiting Around To Be A Millionaire),PT7M29S,AC/DC,Dirty Deeds Done Dirt Cheap,http://ringsushi.com/tone/Aint_no_fun_waiting_round_to-44086/,Rock
Pollution,PT4M41S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/pollution-276967/,rock
And The Band Played Waltzing Matilda (Eric Bogle cover) (Bonus track),PT4M52S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/and-the-band-played-waltzing-matilda-eric-bogle-cover-bonus-track-306938/,Folk Rock
Thank You Space Expert,PT7M53S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/thank-you-space-expert-214780/,Post-rock
I Do Have Weapons,PT4M17S,Mogwai,Zidane: A 21st Century Portrait,http://ringsushi.com/tone/i-do-have-weapons-214728/,Other
I Took A Pill In Ibiza (Seeb Extended),PT4M00S,Mike Posner,I Took A Pill In Ibiza (Seeb Remix) CDS,http://ringsushi.com/tone/i-took-a-pill-in-ibiza-seeb-extended-568703/,Other
On Fire (Drug Dealer Girl Part II) (Feat. Machine Gun Kelly) (Rage To This),PT3M07S,Mike Posner,The Layover,http://ringsushi.com/tone/on-fire-drug-dealer-girl-part-ii-feat-machine-gun-kelly-rage-to-this-523510/,Hip-hop
Don't Trust Me (Benny Blanco Remix) (Feat. Kid CuDi & 3OH!3),PT2M13S,Mike Posner,One Foot Out the Door,http://ringsushi.com/tone/dont-trust-me-benny-blanco-remix-feat-kid-cudi--3oh3-523483/,Other
The Gutter,PT4M03S,Yann Tiersen,Skyline,http://ringsushi.com/tone/the-gutter-214939/,Pop Rock
Bully Of The Town,PT2M08S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/bully-of-the-town-276801/,Blues
Mr. Tom Hughes' Town,PT3M03S,Leadbelly,Important Recordings: 1934-1949 - Disc B,http://ringsushi.com/tone/mr-tom-hughes-town-276864/,Blues
Amazing (Official version),PT29S,Inna,,http://ringsushi.com/tone/Amazing_Official_version-7000/,Other
Rollerball,PT3M46S,Mogwai,Mogwai [Import Bonus Tracks] EP,http://ringsushi.com/tone/rollerball-214762/,post-rock
Yellow Jacket,PT2M56S,Leadbelly,King of the 12-String Guitar,http://ringsushi.com/tone/yellow-jacket-276741/,Blues
Song 5,PT6M10S,Buckethead,Pike 11(Limited Edition),http://ringsushi.com/tone/song-5-214970/,Other
You Can't Judge A Book By The Cover,PT3M15S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/you-cant-judge-a-book-by-the-cover-276948/,rock
Emergency Trap,PT3M31S,Mogwai,Mr. Beast,http://ringsushi.com/tone/emergency-trap-214710/,Post Rock
A Deafening Distance,PT3M49S,God Is An Astronaut,"All is Violent, All is Bright",http://ringsushi.com/tone/a-deafening-distance-214530/,Post Rock
Death Letter Blues - Part 1 (take 1),PT3M02S,Leadbelly,The Remaining ARC And Library Of Congress Recordings Volume 1 1934-1935,http://ringsushi.com/tone/death-letter-blues---part-1-take-1-276860/,Blues
Train Of Love,PT3M08S,The Pogues,Peace And Love (2005 Remastered & Expanded),http://ringsushi.com/tone/train-of-love-306945/,Folk Rock
Home,PT2M38S,Explosions In The Sky,Friday Night Lights Original M,http://ringsushi.com/tone/home-214494/,Other
Barnyard Banties,PT2M29S,Buckethead,It's Alive,http://ringsushi.com/tone/barnyard-banties-214964/,Rock
I Want To Go Home,PT1M26S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/i-want-to-go-home-276934/,Blues
The Hindenburg Disaster (Pt.2),PT2M11S,Leadbelly,Important Recordings: 1934-1949 - Disc A,http://ringsushi.com/tone/the-hindenburg-disaster-pt2-276815/,Blues
Our Last Days As Children,PT2M42S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/our-last-days-as-children-214505/,"Soundtrack, Post-rock"
Suite Irlandaise,PT3M05S,Alan Stivell,The Best of,http://ringsushi.com/tone/suite-irlandaise-307051/,"Celtic, Folk, Bretagne, World"
Back Home,PT2M29S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/back-home-277017/,rock
I Ain't Gonna Drink Anymore,PT2M38S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/i-aint-gonna-drink-anymore-276920/,Blues
Sayonara,PT3M07S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/sayonara-306774/,Folk Rock
Close Encounters,PT3M56S,Mogwai,Rock Action,http://ringsushi.com/tone/close-encounters-214696/,Post Rock
A Pistol For Paddy Garcia,PT2M32S,The Pogues,Rum Sodomy & The Lash,http://ringsushi.com/tone/a-pistol-for-paddy-garcia-306828/,Folk Rock
Infinity,PT2M48S,The Pogues,Hell's Ditch (2005 Remastered & Expanded),http://ringsushi.com/tone/infinity-306929/,Folk Rock
Outshine The Sun [2502-A-2],PT2M53S,Leadbelly,Nobody Knows The Trouble I've Seen,http://ringsushi.com/tone/outshine-the-sun-2502-a-2-276788/,Blues
Djadja,PT2M51S,Aya Nakamura,,http://ringsushi.com/tone/djadja-580689/,Other
